排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
240,undefined%,40%,60%,3%,开,开,关,370.9424%,12.3258%,64.7802%,41.8389%,0.234800,0.190271
241,undefined%,0%,80%,1%,开,关,开,305.4092%,11.0704%,63.0556%,36.7049%,0.233500,0.175566
242,undefined%,0%,80%,1%,开,关,关,305.4092%,11.0704%,63.0556%,36.7049%,0.233500,0.175566
243,undefined%,0%,80%,2%,开,关,开,304.3702%,11.0490%,63.4052%,36.7694%,0.232500,0.174260
244,undefined%,0%,80%,2%,开,关,关,304.3702%,11.0490%,63.4052%,36.7694%,0.232500,0.174260
245,undefined%,40%,60%,1%,开,开,开,362.5588%,12.1746%,64.9831%,41.8532%,0.231200,0.187350
246,undefined%,40%,60%,1%,开,开,关,362.5588%,12.1746%,64.9831%,41.8532%,0.231200,0.187350
247,undefined%,20%,80%,1%,关,关,开,281.9826%,10.5756%,62.0546%,35.2562%,0.229100,0.170424
248,undefined%,20%,80%,1%,关,关,关,281.9826%,10.5756%,62.0546%,35.2562%,0.229100,0.170424
249,undefined%,20%,80%,2%,关,关,开,281.9826%,10.5756%,62.0546%,35.2562%,0.229100,0.170424
250,undefined%,20%,80%,2%,关,关,关,281.9826%,10.5756%,62.0546%,35.2562%,0.229100,0.170424
251,undefined%,20%,80%,3%,关,关,开,281.9826%,10.5756%,62.0546%,35.2562%,0.229100,0.170424
252,undefined%,20%,80%,3%,关,关,关,281.9826%,10.5756%,62.0546%,35.2562%,0.229100,0.170424
253,undefined%,80%,20%,1%,关,关,开,128.2992%,6.3877%,29.3939%,17.0160%,0.228500,0.217314
254,undefined%,80%,20%,1%,关,关,关,128.2992%,6.3877%,29.3939%,17.0160%,0.228500,0.217314
255,undefined%,80%,20%,2%,关,关,开,128.2992%,6.3877%,29.3939%,17.0160%,0.228500,0.217314
256,undefined%,80%,20%,2%,关,关,关,128.2992%,6.3877%,29.3939%,17.0160%,0.228500,0.217314
257,undefined%,80%,20%,3%,关,关,开,128.2992%,6.3877%,29.3939%,17.0160%,0.228500,0.217314
258,undefined%,80%,20%,3%,关,关,关,128.2992%,6.3877%,29.3939%,17.0160%,0.228500,0.217314
259,undefined%,20%,40%,1%,关,关,开,148.7001%,7.0729%,47.1529%,20.2910%,0.225400,0.149999
260,undefined%,20%,40%,1%,关,关,关,148.7001%,7.0729%,47.1529%,20.2910%,0.225400,0.149999
261,undefined%,20%,40%,2%,关,关,开,148.7001%,7.0729%,47.1529%,20.2910%,0.225400,0.149999
262,undefined%,20%,40%,2%,关,关,关,148.7001%,7.0729%,47.1529%,20.2910%,0.225400,0.149999
263,undefined%,20%,40%,3%,关,关,开,148.7001%,7.0729%,47.1529%,20.2910%,0.225400,0.149999
264,undefined%,20%,40%,3%,关,关,关,148.7001%,7.0729%,47.1529%,20.2910%,0.225400,0.149999
265,undefined%,60%,20%,1%,关,关,开,112.8816%,5.8312%,29.6765%,14.9800%,0.222400,0.196492
266,undefined%,60%,20%,1%,关,关,关,112.8816%,5.8312%,29.6765%,14.9800%,0.222400,0.196492
267,undefined%,60%,20%,2%,关,关,开,112.8816%,5.8312%,29.6765%,14.9800%,0.222400,0.196492
268,undefined%,60%,20%,2%,关,关,关,112.8816%,5.8312%,29.6765%,14.9800%,0.222400,0.196492
269,undefined%,60%,20%,3%,关,关,开,112.8816%,5.8312%,29.6765%,14.9800%,0.222400,0.196492
270,undefined%,60%,20%,3%,关,关,关,112.8816%,5.8312%,29.6765%,14.9800%,0.222400,0.196492
271,undefined%,60%,0%,3%,开,开,开,86.6192%,4.7911%,18.4080%,10.3174%,0.222100,0.260273
272,undefined%,60%,0%,3%,开,开,关,86.6192%,4.7911%,18.4080%,10.3174%,0.222100,0.260273
273,undefined%,0%,60%,1%,关,关,开,199.9361%,8.5881%,57.1681%,27.8004%,0.219000,0.150225
274,undefined%,0%,60%,1%,关,关,关,199.9361%,8.5881%,57.1681%,27.8004%,0.219000,0.150225
275,undefined%,0%,60%,2%,关,关,开,199.9361%,8.5881%,57.1681%,27.8004%,0.219000,0.150225
276,undefined%,0%,60%,2%,关,关,关,199.9361%,8.5881%,57.1681%,27.8004%,0.219000,0.150225
277,undefined%,0%,60%,3%,关,关,开,199.9361%,8.5881%,57.1681%,27.8004%,0.219000,0.150225
278,undefined%,0%,60%,3%,关,关,关,199.9361%,8.5881%,57.1681%,27.8004%,0.219000,0.150225
279,undefined%,20%,60%,1%,关,开,开,333.7141%,11.6341%,64.9336%,41.8809%,0.218100,0.179169
280,undefined%,20%,60%,1%,关,开,关,333.7141%,11.6341%,64.9336%,41.8809%,0.218100,0.179169
281,undefined%,20%,60%,2%,关,开,开,333.7141%,11.6341%,64.9336%,41.8809%,0.218100,0.179169
282,undefined%,20%,60%,2%,关,开,关,333.7141%,11.6341%,64.9336%,41.8809%,0.218100,0.179169
283,undefined%,20%,60%,3%,关,开,开,333.7141%,11.6341%,64.9336%,41.8809%,0.218100,0.179169
284,undefined%,20%,60%,3%,关,开,关,333.7141%,11.6341%,64.9336%,41.8809%,0.218100,0.179169
285,undefined%,0%,80%,1%,关,关,开,266.5650%,10.2344%,62.9162%,35.5205%,0.217700,0.162667
286,undefined%,0%,80%,1%,关,关,关,266.5650%,10.2344%,62.9162%,35.5205%,0.217700,0.162667
287,undefined%,0%,80%,2%,关,关,开,266.5650%,10.2344%,62.9162%,35.5205%,0.217700,0.162667
288,undefined%,0%,80%,2%,关,关,关,266.5650%,10.2344%,62.9162%,35.5205%,0.217700,0.162667
289,undefined%,0%,80%,3%,关,关,开,266.5650%,10.2344%,62.9162%,35.5205%,0.217700,0.162667
290,undefined%,0%,80%,3%,关,关,关,266.5650%,10.2344%,62.9162%,35.5205%,0.217700,0.162667
291,undefined%,20%,60%,1%,开,开,开,312.6188%,11.2173%,64.6406%,41.7222%,0.208900,0.173533
292,undefined%,20%,60%,1%,开,开,关,312.6188%,11.2173%,64.6406%,41.7222%,0.208900,0.173533
293,undefined%,20%,60%,2%,开,开,开,310.2985%,11.1703%,64.8775%,41.6943%,0.207900,0.172175
294,undefined%,20%,60%,2%,开,开,关,310.2985%,11.1703%,64.8775%,41.6943%,0.207900,0.172175
295,undefined%,0%,60%,1%,关,开,开,312.0113%,11.2050%,64.6300%,41.9683%,0.207400,0.173371
296,undefined%,0%,60%,1%,关,开,关,312.0113%,11.2050%,64.6300%,41.9683%,0.207400,0.173371
297,undefined%,0%,60%,2%,关,开,开,312.0113%,11.2050%,64.6300%,41.9683%,0.207400,0.173371
298,undefined%,0%,60%,2%,关,开,关,312.0113%,11.2050%,64.6300%,41.9683%,0.207400,0.173371
299,undefined%,0%,60%,3%,关,开,开,312.0113%,11.2050%,64.6300%,41.9683%,0.207400,0.173371
300,undefined%,0%,60%,3%,关,开,关,312.0113%,11.2050%,64.6300%,41.9683%,0.207400,0.173371
301,undefined%,40%,20%,1%,关,关,开,97.4640%,5.2361%,30.4281%,13.2840%,0.206000,0.172081
302,undefined%,40%,20%,1%,关,关,关,97.4640%,5.2361%,30.4281%,13.2840%,0.206000,0.172081
303,undefined%,40%,20%,2%,关,关,开,97.4640%,5.2361%,30.4281%,13.2840%,0.206000,0.172081
304,undefined%,40%,20%,2%,关,关,关,97.4640%,5.2361%,30.4281%,13.2840%,0.206000,0.172081
305,undefined%,40%,20%,3%,关,关,开,97.4640%,5.2361%,30.4281%,13.2840%,0.206000,0.172081
306,undefined%,40%,20%,3%,关,关,关,97.4640%,5.2361%,30.4281%,13.2840%,0.206000,0.172081
307,undefined%,20%,60%,3%,开,开,开,305.3190%,11.0685%,64.8903%,41.7918%,0.205000,0.170572
308,undefined%,20%,60%,3%,开,开,关,305.3190%,11.0685%,64.8903%,41.7918%,0.205000,0.170572
309,undefined%,20%,80%,1%,关,开,开,337.1056%,11.6993%,71.4817%,45.0100%,0.204400,0.163668
310,undefined%,20%,80%,1%,关,开,关,337.1056%,11.6993%,71.4817%,45.0100%,0.204400,0.163668
311,undefined%,20%,80%,2%,关,开,开,337.1056%,11.6993%,71.4817%,45.0100%,0.204400,0.163668
312,undefined%,20%,80%,2%,关,开,关,337.1056%,11.6993%,71.4817%,45.0100%,0.204400,0.163668
313,undefined%,20%,80%,3%,关,开,开,337.1056%,11.6993%,71.4817%,45.0100%,0.204400,0.163668
314,undefined%,20%,80%,3%,关,开,关,337.1056%,11.6993%,71.4817%,45.0100%,0.204400,0.163668
315,undefined%,20%,80%,3%,开,开,开,336.8609%,11.6946%,71.4815%,45.0070%,0.204300,0.163603
316,undefined%,20%,80%,3%,开,开,关,336.8609%,11.6946%,71.4815%,45.0070%,0.204300,0.163603
317,undefined%,20%,80%,1%,开,开,开,336.0574%,11.6792%,71.4815%,44.9658%,0.204100,0.163388
318,undefined%,20%,80%,1%,开,开,关,336.0574%,11.6792%,71.4815%,44.9658%,0.204100,0.163388
319,undefined%,20%,80%,2%,开,开,开,334.0581%,11.6407%,71.4815%,44.9777%,0.203200,0.162849
320,undefined%,20%,80%,2%,开,开,关,334.0581%,11.6407%,71.4815%,44.9777%,0.203200,0.162849
321,undefined%,60%,0%,1%,关,开,开,81.5872%,4.5765%,18.9323%,10.3156%,0.201300,0.241730
322,undefined%,60%,0%,1%,关,开,关,81.5872%,4.5765%,18.9323%,10.3156%,0.201300,0.241730
323,undefined%,60%,0%,2%,关,开,开,81.5872%,4.5765%,18.9323%,10.3156%,0.201300,0.241730
324,undefined%,60%,0%,2%,关,开,关,81.5872%,4.5765%,18.9323%,10.3156%,0.201300,0.241730
325,undefined%,60%,0%,3%,关,开,开,81.5872%,4.5765%,18.9323%,10.3156%,0.201300,0.241730
326,undefined%,60%,0%,3%,关,开,关,81.5872%,4.5765%,18.9323%,10.3156%,0.201300,0.241730
327,undefined%,0%,60%,3%,开,开,开,297.4241%,10.9048%,64.7542%,41.8594%,0.200800,0.168403
328,undefined%,0%,60%,3%,开,开,关,297.4241%,10.9048%,64.7542%,41.8594%,0.200800,0.168403
329,undefined%,0%,60%,2%,开,开,开,295.4097%,10.8625%,64.7542%,41.8436%,0.199900,0.167750
330,undefined%,0%,60%,2%,开,开,关,295.4097%,10.8625%,64.7542%,41.8436%,0.199900,0.167750
331,undefined%,0%,60%,1%,开,开,开,293.5621%,10.8236%,64.7645%,41.8364%,0.199000,0.167122
332,undefined%,0%,60%,1%,开,开,关,293.5621%,10.8236%,64.7645%,41.8364%,0.199000,0.167122
333,undefined%,0%,100%,1%,开,开,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
334,undefined%,0%,100%,1%,关,开,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
335,undefined%,0%,100%,1%,开,开,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
336,undefined%,0%,100%,1%,关,开,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
337,undefined%,0%,100%,1%,开,关,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
338,undefined%,0%,100%,1%,关,关,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
339,undefined%,0%,100%,1%,开,关,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
340,undefined%,0%,100%,1%,关,关,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
341,undefined%,0%,100%,2%,开,开,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
342,undefined%,0%,100%,2%,关,开,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
343,undefined%,0%,100%,2%,开,开,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
344,undefined%,0%,100%,2%,关,开,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
345,undefined%,0%,100%,2%,开,关,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
346,undefined%,0%,100%,2%,关,关,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
347,undefined%,0%,100%,2%,开,关,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
348,undefined%,0%,100%,2%,关,关,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
349,undefined%,0%,100%,3%,开,开,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
350,undefined%,0%,100%,3%,关,开,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
351,undefined%,0%,100%,3%,开,开,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
352,undefined%,0%,100%,3%,关,开,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
353,undefined%,0%,100%,3%,开,关,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
354,undefined%,0%,100%,3%,关,关,开,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
355,undefined%,0%,100%,3%,开,关,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
356,undefined%,0%,100%,3%,关,关,关,333.2186%,11.6245%,72.4426%,45.8970%,0.198800,0.160465
357,undefined%,0%,40%,1%,关,关,开,133.2825%,6.5602%,48.3331%,20.5189%,0.197900,0.135729
358,undefined%,0%,40%,1%,关,关,关,133.2825%,6.5602%,48.3331%,20.5189%,0.197900,0.135729
359,undefined%,0%,40%,2%,关,关,开,133.2825%,6.5602%,48.3331%,20.5189%,0.197900,0.135729
360,undefined%,0%,40%,2%,关,关,关,133.2825%,6.5602%,48.3331%,20.5189%,0.197900,0.135729
361,undefined%,0%,40%,3%,关,关,开,133.2825%,6.5602%,48.3331%,20.5189%,0.197900,0.135729
362,undefined%,0%,40%,3%,关,关,关,133.2825%,6.5602%,48.3331%,20.5189%,0.197900,0.135729
363,undefined%,60%,0%,1%,开,开,开,79.7073%,4.4949%,18.5944%,10.2659%,0.194300,0.241734
364,undefined%,60%,0%,1%,开,开,关,79.7073%,4.4949%,18.5944%,10.2659%,0.194300,0.241734
365,undefined%,0%,80%,1%,开,开,开,311.2715%,11.1901%,71.5603%,45.0347%,0.193000,0.156373
366,undefined%,0%,80%,1%,开,开,关,311.2715%,11.1901%,71.5603%,45.0347%,0.193000,0.156373
367,undefined%,0%,80%,2%,开,开,开,309.6175%,11.1565%,71.5603%,45.0317%,0.192200,0.155903
368,undefined%,0%,80%,2%,开,开,关,309.6175%,11.1565%,71.5603%,45.0317%,0.192200,0.155903
369,undefined%,0%,80%,1%,关,开,开,307.4166%,11.1115%,71.5565%,45.1089%,0.190900,0.155283
370,undefined%,0%,80%,1%,关,开,关,307.4166%,11.1115%,71.5565%,45.1089%,0.190900,0.155283
371,undefined%,0%,80%,2%,关,开,开,307.4166%,11.1115%,71.5565%,45.1089%,0.190900,0.155283
372,undefined%,0%,80%,2%,关,开,关,307.4166%,11.1115%,71.5565%,45.1089%,0.190900,0.155283
373,undefined%,0%,80%,3%,关,开,开,307.4166%,11.1115%,71.5565%,45.1089%,0.190900,0.155283
374,undefined%,0%,80%,3%,关,开,关,307.4166%,11.1115%,71.5565%,45.1089%,0.190900,0.155283
375,undefined%,0%,80%,3%,开,开,开,306.0070%,11.0827%,71.5603%,45.0601%,0.190500,0.154872
376,undefined%,0%,80%,3%,开,开,关,306.0070%,11.0827%,71.5603%,45.0601%,0.190500,0.154872
377,undefined%,60%,0%,2%,开,开,开,78.6085%,4.4468%,18.6469%,10.2452%,0.190000,0.238474
378,undefined%,60%,0%,2%,开,开,关,78.6085%,4.4468%,18.6469%,10.2452%,0.190000,0.238474
379,undefined%,0%,20%,3%,开,关,开,71.0277%,4.1076%,19.3997%,9.1699%,0.175300,0.211735
380,undefined%,0%,20%,3%,开,关,关,71.0277%,4.1076%,19.3997%,9.1699%,0.175300,0.211735
381,undefined%,20%,20%,1%,关,关,开,82.0465%,4.5963%,31.6120%,12.2069%,0.171700,0.145397
382,undefined%,20%,20%,1%,关,关,关,82.0465%,4.5963%,31.6120%,12.2069%,0.171700,0.145397
383,undefined%,20%,20%,2%,关,关,开,82.0465%,4.5963%,31.6120%,12.2069%,0.171700,0.145397
384,undefined%,20%,20%,2%,关,关,关,82.0465%,4.5963%,31.6120%,12.2069%,0.171700,0.145397
385,undefined%,20%,20%,3%,关,关,开,82.0465%,4.5963%,31.6120%,12.2069%,0.171700,0.145397
386,undefined%,20%,20%,3%,关,关,关,82.0465%,4.5963%,31.6120%,12.2069%,0.171700,0.145397
387,undefined%,0%,20%,2%,开,关,开,69.0648%,4.0175%,20.8736%,9.2093%,0.164800,0.192468
388,undefined%,0%,20%,2%,开,关,关,69.0648%,4.0175%,20.8736%,9.2093%,0.164800,0.192468
389,undefined%,0%,20%,1%,开,关,开,68.5327%,3.9929%,20.1223%,9.1585%,0.163000,0.198432
390,undefined%,0%,20%,1%,开,关,关,68.5327%,3.9929%,20.1223%,9.1585%,0.163000,0.198432
391,undefined%,0%,20%,1%,关,关,开,66.6289%,3.9043%,33.0202%,12.1027%,0.116000,0.118240
392,undefined%,0%,20%,1%,关,关,关,66.6289%,3.9043%,33.0202%,12.1027%,0.116000,0.118240
393,undefined%,0%,20%,2%,关,关,开,66.6289%,3.9043%,33.0202%,12.1027%,0.116000,0.118240
394,undefined%,0%,20%,2%,关,关,关,66.6289%,3.9043%,33.0202%,12.1027%,0.116000,0.118240
395,undefined%,0%,20%,3%,关,关,开,66.6289%,3.9043%,33.0202%,12.1027%,0.116000,0.118240
396,undefined%,0%,20%,3%,关,关,关,66.6289%,3.9043%,33.0202%,12.1027%,0.116000,0.118240
397,undefined%,100%,0%,1%,开,关,开,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
398,undefined%,100%,0%,1%,关,关,开,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
399,undefined%,100%,0%,1%,开,关,关,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
400,undefined%,100%,0%,1%,关,关,关,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
401,undefined%,100%,0%,2%,开,关,开,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
402,undefined%,100%,0%,2%,关,关,开,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
403,undefined%,100%,0%,2%,开,关,关,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
404,undefined%,100%,0%,2%,关,关,关,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
405,undefined%,100%,0%,3%,开,关,开,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
406,undefined%,100%,0%,3%,关,关,开,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
407,undefined%,100%,0%,3%,开,关,关,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
408,undefined%,100%,0%,3%,关,关,关,77.0878%,4.3799%,30.9148%,17.7498%,0.105900,0.141676
409,undefined%,40%,0%,1%,关,开,开,50.8660%,3.1327%,14.5990%,7.1127%,0.088900,0.214583
410,undefined%,40%,0%,1%,关,开,关,50.8660%,3.1327%,14.5990%,7.1127%,0.088900,0.214583
411,undefined%,40%,0%,2%,关,开,开,50.8660%,3.1327%,14.5990%,7.1127%,0.088900,0.214583
412,undefined%,40%,0%,2%,关,开,关,50.8660%,3.1327%,14.5990%,7.1127%,0.088900,0.214583
413,undefined%,40%,0%,3%,关,开,开,50.8660%,3.1327%,14.5990%,7.1127%,0.088900,0.214583
414,undefined%,40%,0%,3%,关,开,关,50.8660%,3.1327%,14.5990%,7.1127%,0.088900,0.214583
415,undefined%,40%,0%,3%,开,开,开,50.3899%,3.1082%,13.0666%,6.9342%,0.087700,0.237874
416,undefined%,40%,0%,3%,开,开,关,50.3899%,3.1082%,13.0666%,6.9342%,0.087700,0.237874
417,undefined%,80%,0%,1%,开,关,开,62.2784%,3.6983%,25.3905%,14.2013%,0.084400,0.145657
418,undefined%,80%,0%,1%,开,关,关,62.2784%,3.6983%,25.3905%,14.2013%,0.084400,0.145657
419,undefined%,80%,0%,3%,开,关,开,62.3159%,3.7001%,25.5086%,14.2793%,0.084000,0.145053
420,undefined%,80%,0%,3%,开,关,关,62.3159%,3.7001%,25.5086%,14.2793%,0.084000,0.145053
421,undefined%,80%,0%,2%,开,关,开,61.8694%,3.6787%,25.3613%,14.2555%,0.082700,0.145052
422,undefined%,80%,0%,2%,开,关,关,61.8694%,3.6787%,25.3613%,14.2555%,0.082700,0.145052
423,undefined%,40%,0%,2%,开,开,开,49.4757%,3.0611%,13.3543%,6.9033%,0.081300,0.229222
424,undefined%,40%,0%,2%,开,开,关,49.4757%,3.0611%,13.3543%,6.9033%,0.081300,0.229222
425,undefined%,80%,0%,1%,关,关,开,61.6702%,3.6691%,26.4333%,14.6708%,0.079700,0.138806
426,undefined%,80%,0%,1%,关,关,关,61.6702%,3.6691%,26.4333%,14.6708%,0.079700,0.138806
427,undefined%,80%,0%,2%,关,关,开,61.6702%,3.6691%,26.4333%,14.6708%,0.079700,0.138806
428,undefined%,80%,0%,2%,关,关,关,61.6702%,3.6691%,26.4333%,14.6708%,0.079700,0.138806
429,undefined%,80%,0%,3%,关,关,开,61.6702%,3.6691%,26.4333%,14.6708%,0.079700,0.138806
430,undefined%,80%,0%,3%,关,关,关,61.6702%,3.6691%,26.4333%,14.6708%,0.079700,0.138806
431,undefined%,40%,0%,1%,开,开,开,48.3204%,3.0011%,13.3089%,6.8306%,0.073400,0.225496
432,undefined%,40%,0%,1%,开,开,关,48.3204%,3.0011%,13.3089%,6.8306%,0.073400,0.225496
433,undefined%,60%,0%,1%,开,关,开,47.2064%,2.9429%,19.5532%,10.6558%,0.041600,0.150507
434,undefined%,60%,0%,1%,开,关,关,47.2064%,2.9429%,19.5532%,10.6558%,0.041600,0.150507
435,undefined%,60%,0%,3%,开,关,开,46.1864%,2.8892%,19.5079%,10.7352%,0.036300,0.148104
436,undefined%,60%,0%,3%,开,关,关,46.1864%,2.8892%,19.5079%,10.7352%,0.036300,0.148104
437,undefined%,60%,0%,1%,关,关,开,46.2527%,2.8927%,21.2896%,11.3975%,0.034500,0.135874
438,undefined%,60%,0%,1%,关,关,关,46.2527%,2.8927%,21.2896%,11.3975%,0.034500,0.135874
439,undefined%,60%,0%,2%,关,关,开,46.2527%,2.8927%,21.2896%,11.3975%,0.034500,0.135874
440,undefined%,60%,0%,2%,关,关,关,46.2527%,2.8927%,21.2896%,11.3975%,0.034500,0.135874
441,undefined%,60%,0%,3%,关,关,开,46.2527%,2.8927%,21.2896%,11.3975%,0.034500,0.135874
442,undefined%,60%,0%,3%,关,关,关,46.2527%,2.8927%,21.2896%,11.3975%,0.034500,0.135874
443,undefined%,60%,0%,2%,开,关,开,44.9441%,2.8233%,19.6059%,10.6723%,0.030300,0.144003
444,undefined%,60%,0%,2%,开,关,关,44.9441%,2.8233%,19.6059%,10.6723%,0.030300,0.144003
445,undefined%,0%,0%,1%,开,开,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
446,undefined%,0%,0%,1%,关,开,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
447,undefined%,0%,0%,1%,开,开,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
448,undefined%,0%,0%,1%,关,开,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
449,undefined%,0%,0%,1%,开,关,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
450,undefined%,0%,0%,1%,关,关,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
451,undefined%,0%,0%,1%,开,关,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
452,undefined%,0%,0%,1%,关,关,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
453,undefined%,0%,0%,2%,开,开,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
454,undefined%,0%,0%,2%,关,开,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
455,undefined%,0%,0%,2%,开,开,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
456,undefined%,0%,0%,2%,关,开,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
457,undefined%,0%,0%,2%,开,关,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
458,undefined%,0%,0%,2%,关,关,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
459,undefined%,0%,0%,2%,开,关,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
460,undefined%,0%,0%,2%,关,关,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
461,undefined%,0%,0%,3%,开,开,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
462,undefined%,0%,0%,3%,关,开,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
463,undefined%,0%,0%,3%,开,开,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
464,undefined%,0%,0%,3%,关,开,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
465,undefined%,0%,0%,3%,开,关,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
466,undefined%,0%,0%,3%,关,关,开,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
467,undefined%,0%,0%,3%,开,关,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
468,undefined%,0%,0%,3%,关,关,关,0.0000%,0.0000%,0.0000%,0.0000%,0.000000,0.000000
469,undefined%,40%,0%,1%,关,关,开,30.8351%,2.0365%,15.3252%,7.8938%,-0.058700,0.132886
470,undefined%,40%,0%,1%,关,关,关,30.8351%,2.0365%,15.3252%,7.8938%,-0.058700,0.132886
471,undefined%,40%,0%,2%,关,关,开,30.8351%,2.0365%,15.3252%,7.8938%,-0.058700,0.132886
472,undefined%,40%,0%,2%,关,关,关,30.8351%,2.0365%,15.3252%,7.8938%,-0.058700,0.132886
473,undefined%,40%,0%,3%,关,关,开,30.8351%,2.0365%,15.3252%,7.8938%,-0.058700,0.132886
474,undefined%,40%,0%,3%,关,关,关,30.8351%,2.0365%,15.3252%,7.8938%,-0.058700,0.132886
475,undefined%,40%,0%,1%,开,关,开,31.3432%,2.0662%,13.3827%,7.1068%,-0.061000,0.154393
476,undefined%,40%,0%,1%,开,关,关,31.3432%,2.0662%,13.3827%,7.1068%,-0.061000,0.154393
477,undefined%,40%,0%,3%,开,关,开,30.9708%,2.0444%,13.3378%,7.1656%,-0.063600,0.153279
478,undefined%,40%,0%,3%,开,关,关,30.9708%,2.0444%,13.3378%,7.1656%,-0.063600,0.153279
479,undefined%,40%,0%,2%,开,关,开,29.3083%,1.9467%,13.4423%,7.1123%,-0.077800,0.144819
480,undefined%,40%,0%,2%,开,关,关,29.3083%,1.9467%,13.4423%,7.1123%,-0.077800,0.144819
481,undefined%,20%,0%,1%,关,开,开,23.0488%,1.5680%,7.5372%,3.8123%,-0.244500,0.208035
482,undefined%,20%,0%,1%,关,开,关,23.0488%,1.5680%,7.5372%,3.8123%,-0.244500,0.208035
483,undefined%,20%,0%,2%,关,开,开,23.0488%,1.5680%,7.5372%,3.8123%,-0.244500,0.208035
484,undefined%,20%,0%,2%,关,开,关,23.0488%,1.5680%,7.5372%,3.8123%,-0.244500,0.208035
485,undefined%,20%,0%,3%,关,开,开,23.0488%,1.5680%,7.5372%,3.8123%,-0.244500,0.208035
486,undefined%,20%,0%,3%,关,开,关,23.0488%,1.5680%,7.5372%,3.8123%,-0.244500,0.208035
