排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
49,undefined%,60%,40%,2%,关,开,开,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
50,undefined%,60%,40%,2%,关,开,关,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
51,undefined%,60%,40%,3%,关,开,开,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
52,undefined%,60%,40%,3%,关,开,关,466.7284%,13.8966%,48.3151%,31.2610%,0.364600,0.287624
53,undefined%,40%,40%,3%,开,开,开,433.2742%,13.3780%,48.2333%,29.9162%,0.363600,0.277360
54,undefined%,40%,40%,3%,开,开,关,433.2742%,13.3780%,48.2333%,29.9162%,0.363600,0.277360
55,undefined%,40%,40%,2%,开,开,开,422.8225%,13.2098%,47.7429%,29.6956%,0.360700,0.276686
56,undefined%,40%,40%,2%,开,开,关,422.8225%,13.2098%,47.7429%,29.6956%,0.360700,0.276686
57,undefined%,40%,40%,2%,开,关,开,238.5650%,9.5793%,36.9562%,19.6439%,0.360400,0.259207
58,undefined%,40%,40%,2%,开,关,关,238.5650%,9.5793%,36.9562%,19.6439%,0.360400,0.259207
59,undefined%,60%,40%,1%,开,开,开,456.0132%,13.7337%,48.8230%,31.4620%,0.357100,0.281296
60,undefined%,60%,40%,1%,开,开,关,456.0132%,13.7337%,48.8230%,31.4620%,0.357100,0.281296
61,undefined%,40%,40%,3%,开,关,开,235.7955%,9.5118%,37.6714%,19.7074%,0.355800,0.252494
62,undefined%,40%,40%,3%,开,关,关,235.7955%,9.5118%,37.6714%,19.7074%,0.355800,0.252494
63,undefined%,40%,40%,1%,关,开,开,421.5231%,13.1887%,48.2543%,30.0770%,0.355400,0.273317
64,undefined%,40%,40%,1%,关,开,关,421.5231%,13.1887%,48.2543%,30.0770%,0.355400,0.273317
65,undefined%,40%,40%,2%,关,开,开,421.5231%,13.1887%,48.2543%,30.0770%,0.355400,0.273317
66,undefined%,40%,40%,2%,关,开,关,421.5231%,13.1887%,48.2543%,30.0770%,0.355400,0.273317
